ilce_adi,mahalle_adi,mahalle_koy_uavt,cok_agir_hasarli_bina_sayisi,agir_hasarli_bina_sayisi,orta_hasarli_bina_sayisi,hafif_hasarli_bina_sayisi,can_kaybi_sayisi,agir_yarali_sayisi,hastanede_tedavi_sayisi,hafif_yarali_sayisi,dogalgaz_boru_hasari,icme_suyu_boru_hasari,atik_su_boru_hasari,gecici_barinma
ADALAR,BURGAZADA,40139,z54,99,256,241,8,6,24,42,0,0,1,398
ADALAR,HEYBELIADA,40142,101,175,423,393,25,21,66,113,1,1,2,763
ADALAR,KINALIADA,40143,53,97,287,302,5,3,15,27,0,1,1,420
ADALAR,MADEN,40140,104,192,483,484,22,18,64,113,1,1,2,847
ADALAR,NIZAM,40141,101,180,445,422,16,13,48,83,1,2,2,687
ARNAVUTKOY,ADNAN MENDERES,40490,1,3,21,57,0,0,1,3,0,0,0,89
ARNAVUTKOY,ANADOLU,99359,2,13,108,371,0,0,8,26,1,1,1,659
ARNAVUTKOY,ARNAVUTKOY MERKEZ,40478,1,6,51,199,0,0,2,10,0,1,1,273
ARNAVUTKOY,ATATURK,40482,1,6,49,129,0,0,2,8,0,0,0,209
ARNAVUTKOY,BAKLALI,191981,1,5,23,65,0,0,0,0,0,0,0,26
ARNAVUTKOY,BALABAN,191983,0,1,7,25,0,0,0,0,0,0,0,7
ARNAVUTKOY,BOGAZKOY ISTIKLAL,40483,2,14,95,249,0,0,3,10,0,1,1,246
ARNAVUTKOY,BOLLUCA,40487,1,6,46,125,0,0,1,5,0,0,0,177
ARNAVUTKOY,BOYALIK,191985,1,4,21,63,0,0,0,0,0,0,0,24
ARNAVUTKOY,CILINGIR,40494,1,5,28,76,0,0,0,0,0,0,0,38
ARNAVUTKOY,DELIKLIKAYA,40910,1,7,50,120,0,0,0,2,1,1,1,173
ARNAVUTKOY,DURSUNKOY,40911,1,5,18,45,0,0,0,1,0,0,0,22
ARNAVUTKOY,DURUSU,40915,0,2,10,30,0,0,0,0,0,0,0,16
ARNAVUTKOY,FATIH,40495,1,4,21,59,0,0,0,1,0,0,0,51
ARNAVUTKOY,HACIMASLI,191975,0,3,16,41,0,0,0,0,0,0,0,20
ARNAVUTKOY,HADIMKOY,40913,1,7,63,203,0,0,0,4,1,1,1,387
ARNAVUTKOY,HARACCI,40489,2,12,82,230,0,0,0,4,1,1,1,209
ARNAVUTKOY,HASTANE,40912,1,6,45,147,0,0,0,5,0,0,0,148
ARNAVUTKOY,HICRET,40486,0,3,24,61,0,0,0,2,0,0,0,91
ARNAVUTKOY,IMRAHOR,40481,3,17,96,255,0,0,2,11,1,1,1,301
ARNAVUTKOY,ISLAMBEY,40479,2,11,88,268,0,0,4,18,1,0,1,395
ARNAVUTKOY,KARABURUN,191987,0,3,32,112,0,0,0,0,0,0,0,34
ARNAVUTKOY,KARLIBAYIR,40488,2,9,60,186,0,0,1,8,0,0,1,188
ARNAVUTKOY,MARESAL FEVZI CAKMAK,40493,1,6,50,141,0,0,0,1,0,1,1,115
ARNAVUTKOY,MAVIGOL,40485,1,6,53,146,0,0,0,3,0,0,0,146
ARNAVUTKOY,MEHMET AKIF ERSOY,40491,1,4,26,73,0,0,0,3,0,0,1,132
ARNAVUTKOY,MUSTAFA KEMAL PASA,99358,1,7,53,161,0,0,3,11,0,0,1,254
ARNAVUTKOY,NENEHATUN,99357,1,5,43,124,0,0,0,7,0,0,1,180
ARNAVUTKOY,OMERLI,40906,1,7,49,124,0,0,0,3,1,0,0,189
ARNAVUTKOY,SAZLIBOSNA,40907,0,5,26,68,0,0,0,1,0,0,0,46
ARNAVUTKOY,TASOLUK,40492,1,6,44,122,0,0,1,6,0,0,1,120
ARNAVUTKOY,TAYAKADIN,191977,3,12,57,162,0,0,0,1,0,0,0,92
ARNAVUTKOY,TERKOS,40914,1,4,19,58,0,0,0,0,0,0,0,22
ARNAVUTKOY,YASSIOREN,191989,0,1,12,41,0,0,0,0,0,0,0,11
ARNAVUTKOY,YAVUZ SELIM,40480,2,9,64,180,0,0,1,9,0,0,1,250
ARNAVUTKOY,YENIKOY,191979,1,5,39,121,0,0,0,0,0,1,1,43
ARNAVUTKOY,YESILBAYIR,40908,1,4,27,69,0,0,0,0,0,0,0,29
ARNAVUTKOY,YUNUS EMRE,40484,1,10,88,244,0,0,5,16,0,0,1,403
ATASEHIR,ASIKVEYSEL,98687,5,18,102,266,4,3,12,26,0,0,0,465
ATASEHIR,ATATURK,99749,2,12,76,209,2,0,11,30,0,1,1,706
ATASEHIR,BARBAROS,40527,14,50,248,498,11,9,42,88,1,1,2,1281
ATASEHIR,ESATPASA,40793,5,20,140,422,3,1,14,33,0,0,1,598
ATASEHIR,FERHATPASA,40577,4,26,191,493,0,0,5,26,1,1,2,784
ATASEHIR,FETIH,40795,1,3,26,102,1,0,3,7,0,0,0,203
ATASEHIR,ICERENKOY,40530,23,76,465,1180,19,8,61,133,1,1,3,2792
ATASEHIR,INONU,40534,4,17,115,392,2,0,14,36,0,0,1,775
ATASEHIR,KAYISDAGI,40533,10,52,352,785,7,2,31,76,1,1,2,1930
ATASEHIR,KUCUKBAKKALKOY,40531,13,41,200,501,11,6,35,71,1,1,2,1284
ATASEHIR,MEVLANA,99516,1,8,64,188,2,0,7,20,0,0,0,470
ATASEHIR,MIMAR SINAN,99519,2,13,81,203,1,0,7,18,0,0,0,370
